entity_id,dt_url,pic_url,label_color,label_index,sku
112,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/346771360_datablad_panasonic_aquarea_monoblok_j_1.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/346771360_Energimærke_1.jpg,green,AAA,346771530
113,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/346771360_datablad_panasonic_aquarea_monoblok_j_0.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/346771360_Energimærke_0.jpg,green,AAA,346771540
114,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/359011130_Tekniskdata 90001243 Erp Product Fiche.jpg,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359011130_Energimærke 90001243 Erp Product Label.jpg,green,AA,359011130
115,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/359011140_Tekniskdata 90001244 Erp Product Fiche_0.jpg,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359011140_Energimærke 90001244 Erp Product Label_0.jpg,green,AA,359011140
116,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/307010020_BC 200-2000K(F).pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/307010020_energimærke.PNG,lightgreen,B,307010020
117,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/307010020_BC 200-2000K(F)_0.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/307010020_energimærke_0.PNG,lightgreen,B,307010025
118,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/346771360_datablad_panasonic_aquarea_monoblok_j_1_6.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/346771120_Energimærke WH-MXC09H3E8 Panasonic_2.jpg,green,AAA,346771550
119,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/346771360_datablad_panasonic_aquarea_monoblok_j_1_5.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/346771140_Energimærke WH-MXC12H9E8 Panasonic_2.jpg,green,AAA,346771560
120,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/346771360_datablad_panasonic_aquarea_monoblok_j_1_4.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/346771100_Energimærke WH-MXC16H9E8 Panasonic_2.jpg,green,AAA,346771570
121,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/346771360_datablad_panasonic_aquarea_monoblok_j_1_2.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/346771120_Energimærke WH-MXC09H3E8 Panasonic_1.jpg,green,AAA,346771580
