import_file_id,import_id,store_id,filename,label,customer_groups,is_visible,include_in_order,product_ids,category_ids,product_skus,link
,,0,brusehjorne12_sep2020,brusehjorne12_sep2020,,1,,,19598,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-08/brusehjorne12_sep2020.pdf
,,0,brusehjorne13_sep2020,brusehjorne13_sep2020,,1,,,19600,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-08/brusehjorne13_sep2020.pdf
,,0,brusehjorne14_sep2020,brusehjorne14_sep2020,,1,,,19602,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-08/brusehjorne14_sep2020.pdf
,,0,brusehjorne15_sep2020,brusehjorne15_sep2020,,1,,,19604,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-08/brusehjorne15_sep2020.pdf
,,0,ligevaeg16_sep2020,ligevaeg16_sep2020,,1,,,21217,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-08/ligevaeg16_sep2020.pdf
,,0,spejl_specialmal_skema,spejl_specialmal_skema,,1,,,"19607, 17969",,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2019-05/spejl_specialmal_skema.pdf
,,0,danfoss_radiatorventiler,danfoss_radiatorventiler,,1,,,21542,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-11/danfoss_radiatorventiler.pdf
,,0,460970980_manual_danfoss_ally,460970980_manual_danfoss_ally,,1,,,21543,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-11/460970980_manual_danfoss_ally.pdf
,,0,rio_til_heizrad_vejledning,rio_til_heizrad_vejledning,,1,,,2781,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-03/rio_til_heizrad_vejledning.pdf
,,0,heizrad_radiator_datablad,heizrad_radiator_datablad,,1,,,17679,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2018-06/heizrad_radiator_datablad.pdf
